*************************************** Sortowanie babelkowe ***************************************

        N         1         2         3         4         5       œredna 
   262144: 0.016419  0.021633  0.011901  0.012014  0.012818      0.014957
   524288: 0.025927  0.026408  0.039510  0.064828  0.031154      0.037565
  1048576: 0.056334  0.055173  0.051080  0.060001  0.057182      0.055954
  2097152: 0.105258  0.113189  0.118087  0.111324  0.110416      0.111655
  4194304: 0.234391  0.240357  0.227566  0.233084  0.235225      0.234125
  8388608: 0.518338  0.510821  0.499654  0.504255  0.509191      0.508452
 16777216: 1.010649  1.032060  1.025651  1.029399  1.045954      1.028743
 33554432: 2.183814  2.168331  2.162495  2.141555  2.158032      2.162845

 ********************************** Sortowanie kopcowe - duplikaty **********************************

        N         1         2         3         4         5       œredna 
     1024: 0.000057  0.000039  0.000038  0.000039  0.000038      0.000042
     2048: 0.000076  0.000076  0.000078  0.000105  0.000078      0.000083
     4096: 0.000154  0.000153  0.000177  0.000160  0.000155      0.000160
     8192: 0.000306  0.000307  0.000312  0.000305  0.000315      0.000309
    16384: 0.000624  0.000666  0.000644  0.000683  0.000763      0.000676
    32768: 0.001244  0.001386  0.002086  0.001330  0.001237      0.001456
    65536: 0.002595  0.009029  0.003673  0.004379  0.002440      0.004423
   131072: 0.009941  0.018044  0.006947  0.005366  0.005103      0.009080
   262144: 0.028808  0.020690  0.012231  0.016311  0.012881      0.018184
   524288: 0.027687  0.026761  0.031073  0.026191  0.031078      0.028558
  1048576: 0.043171  0.042434  0.044980  0.045734  0.051119      0.045488
  2097152: 0.092951  0.092525  0.089191  0.087822  0.094737      0.091445
  4194304: 0.187105  0.177880  0.183267  0.188617  0.174475      0.182269
  8388608: 0.367508  0.356629  0.356300  0.369633  0.355666      0.361147
 16777216: 0.731203  0.729406  0.701065  0.750218  0.737227      0.729824
 33554432: 1.437586  1.434264  1.456446  1.431152  1.436494      1.439188
 67108864: 2.864480  2.882967  2.814580  2.788648  2.847901      2.839715 

****************************** Sortowanie szybkie - dane posortowane *******************************

        N         1         2         3         4         5       œredna 
     1024: 0.000043  0.000055  0.000048  0.000048  0.000048      0.000049
     2048: 0.000103  0.000103  0.000103  0.000103  0.000103      0.000103
     4096: 0.000224  0.000224  0.000222  0.000159  0.000144      0.000195
     8192: 0.000293  0.000714  0.000280  0.000293  0.000542      0.000424
    16384: 0.001269  0.001047  0.000825  0.000623  0.000621      0.000877
    32768: 0.001465  0.001312  0.001305  0.001343  0.001555      0.001396
    65536: 0.003153  0.002864  0.004203  0.003969  0.003409      0.003520
   131072: 0.006012  0.005788  0.006384  0.005820  0.008013      0.006403
   262144: 0.013454  0.012811  0.012958  0.014598  0.015721      0.013909
   524288: 0.077873  0.027825  0.026699  0.026992  0.029131      0.037704
  1048576: 0.058767  0.057098  0.060343  0.058213  0.059623      0.058809
  2097152: 0.122783  0.121798  0.122715  0.120002  0.123717      0.122203
  4194304: 0.252260  0.278253  0.259097  0.255779  0.256594      0.260397
  8388608: 0.568813  0.535282  0.542244  0.543550  0.562863      0.550551
 16777216: 1.171341  1.179169  1.133889  1.123743  1.109765      1.143581
 33554432: 2.381051  2.527371  2.320040  2.322189  2.323813      2.374893
 
  ********************************** Sortowanie szybkie - duplikaty **********************************

        N         1         2         3         4         5       œredna 
     1024: 0.000030  0.000029  0.000029  0.000028  0.000027      0.000029
     2048: 0.000107  0.000091  0.000059  0.000114  0.000100      0.000094
     4096: 0.000156  0.000133  0.000152  0.000132  0.000136      0.000142
     8192: 0.000294  0.000292  0.000377  0.000295  0.000349      0.000321
    16384: 0.005302  0.001293  0.001177  0.000632  0.000914      0.001864
    32768: 0.001431  0.001429  0.001449  0.001356  0.001542      0.001441
    65536: 0.002904  0.002743  0.002922  0.002855  0.002842      0.002853
   131072: 0.005977  0.006241  0.006913  0.005760  0.006065      0.006191
   262144: 0.012436  0.013701  0.013269  0.015468  0.015852      0.014145
   524288: 0.028783  0.027838  0.028519  0.033801  0.026772      0.029142
  1048576: 0.060140  0.058683  0.058893  0.061382  0.062050      0.060229
  2097152: 0.122027  0.130013  0.120694  0.129780  0.121250      0.124753
  4194304: 0.266642  0.272409  0.256717  0.252250  0.261615      0.261927
  8388608: 0.566896  0.533723  0.569373  0.533980  0.562274      0.553249
 16777216: 1.157816  1.125776  1.127315  1.138724  1.180591      1.146044
 33554432: 2.316351  2.332254  2.408893  2.308248  2.323970      2.337943
 67108864: 4.786210   ***************************** Sortowanie std::sort - dane posortowane ******************************

        N         1         2         3         4         5       œredna 
     1024: 0.000443  0.000462  0.000630  0.000466  0.000430      0.000486
     2048: 0.001083  0.001069  0.001015  0.001013  0.001019      0.001040
     4096: 0.002546  0.002360  0.002867  0.002422  0.002427      0.002525
     8192: 0.005777  0.005625  0.006129  0.005106  0.005765      0.005680
    16384: 0.011687  0.012531  0.010990  0.013838  0.011349      0.012079
    32768: 0.026563  0.027991  0.028622  0.024030  0.024707      0.026383
    65536: 0.053647  0.055621  0.055355  0.052718  0.054102      0.054288
   131072: 0.116207  0.114349  0.116779  0.116019  0.114033      0.115477
   262144: 0.257408  0.247948  0.244977  0.246032  0.246109      0.248495
   524288: 0.529570  0.525020  0.527951  0.536636  0.543907      0.532617
  1048576: 1.130358  1.138052  1.112237  1.114082  1.132571      1.125460
  2097152: 2.364192  2.376969  2.375389  2.369396  2.373252      2.371840
  4194304: 5.015477  4.950631  4.925041  4.988634  4.950352      4.966027
  8388608: 10.571172  10.682214  10.542601  10.541220  10.486678     10.564777
 16777216: 21.940002  21.916226  21.918754  22.088374  23.353667     22.243404 

***************************** Sortowanie std::sort - duplikaty ******************************

        N         1         2         3         4         5       œredna 
     1024: 0.000078  0.000076  0.000068  0.000069  0.000069      0.000072
     2048: 0.000132  0.000155  0.000133  0.000149  0.000134      0.000141
     4096: 0.000269  0.000268  0.000270  0.000271  0.000272      0.000270
     8192: 0.000476  0.000514  0.000518  0.000480  0.000491      0.000496
    16384: 0.000940  0.000976  0.001023  0.000955  0.000995      0.000978
    32768: 0.001993  0.002051  0.002027  0.002327  0.001983      0.002076
    65536: 0.005041  0.005175  0.013570  0.006554  0.003822      0.006832
   131072: 0.022210  0.009335  0.008287  0.008922  0.008311      0.011413
   262144: 0.018620  0.017304  0.016566  0.018752  0.022222      0.018693
   524288: 0.039488  0.036776  0.067474  0.038099  0.036785      0.043724
  1048576: 0.089494  0.103284  0.067988  0.075002  0.082487      0.083651
  2097152: 0.160105  0.134989  0.133882  0.134882  0.132825      0.139337
  4194304: 0.267627  0.272398  0.284561  0.273721  0.274936      0.274649
  8388608: 0.537080  0.540156  0.540579  0.538120  0.544213      0.540030
 16777216: 1.095494  1.083115  1.083539  1.092770  1.090544      1.089092
 33554432: 2.182095  2.178256  2.165185  2.175531  2.150639      2.170341
 67108864: 4.329865  4.303539  4.299155  4.289852  4.348420      4.314166

 
